"county_state","county","state","total_pop","asian_pop","crime_total","crime_rate","rank_total","rank_rate","log_total","log_rate","x1","y1","x2","y2"
"Norfolk, Massachusetts","Norfolk","Massachusetts",725981,88512,54,6.100867679,31,33,4.00733318523247,1.9602169848903,156,4.00733318523247,4.00733318523247,1.9602169848903
"Allegheny, Pennsylvania","Allegheny","Pennsylvania",1250578,58541,55,9.395124784,30,14,4.02535169073515,2.34133692547073,157,4.02535169073515,4.02535169073515,2.34133692547073
"Hudson, New Jersey","Hudson","New Jersey",724854,124555,56,4.496005781,29,60,4.04305126783455,1.70402160677539,158,4.04305126783455,4.04305126783455,1.70402160677539
"Fairfax, Virginia","Fairfax","Virginia",24146,4537,58,127.8377783,25,1,4.07753744390572,4.85855408044596,159,4.07753744390572,4.07753744390572,4.85855408044596
"Multnomah, Oregon","Multnomah","Oregon",815428,62022,58,9.351520428,25,15,4.07753744390572,2.33713341017848,160,4.07753744390572,4.07753744390572,2.33713341017848
"Clark, Nevada","Clark","Nevada",2265461,237663,58,2.440430357,25,118,4.07753744390572,1.23559656733955,162,4.07753744390572,4.07753744390572,1.23559656733955
"Travis, Texas","Travis","Texas",1290188,101038,59,5.839387161,24,36,4.0943445622221,1.92269813127544,163,4.0943445622221,4.0943445622221,1.92269813127544
"Riverside, California","Riverside","California",2418185,171243,60,3.503792856,23,81,4.11087386417331,1.50491989866076,164,4.11087386417331,4.11087386417331,1.50491989866076
"Hennepin, Minnesota","Hennepin","Minnesota",1281565,97864,64,6.53968773,22,28,4.17438726989564,2.02018076604287,165,4.17438726989564,4.17438726989564,2.02018076604287
"Montgomery, Maryland","Montgomery","Maryland",1062061,163507,65,3.975364969,21,71,4.18965474202643,1.60449872852281,166,4.18965474202643,4.18965474202643,1.60449872852281
"Pierce, Washington","Pierce","Washington",921130,63460,68,10.71541128,20,9,4.23410650459726,2.46090517847113,167,4.23410650459726,4.23410650459726,2.46090517847113
"Maricopa, Arizona","Maricopa","Arizona",4420568,203696,73,3.583771895,19,79,4.30406509320417,1.52252221704866,168,4.30406509320417,4.30406509320417,1.52252221704866
"Contra Costa, California","Contra Costa","California",1165927,217823,105,4.820427595,18,51,4.66343909411207,1.76137372897583,169,4.66343909411207,4.66343909411207,1.76137372897583
"Sacramento, California","Sacramento","California",1585055,281733,108,3.833416746,16,76,4.69134788222914,1.57555361840261,170,4.69134788222914,4.69134788222914,1.57555361840261
"Harris, Texas","Harris","Texas",4731145,349268,108,3.092181362,16,94,4.69134788222914,1.4090781682216,171,4.69134788222914,4.69134788222914,1.4090781682216
"Middlesex, Massachusetts","Middlesex","Massachusetts",1632002,210462,111,5.274111241,15,42,4.71849887129509,1.83643184008628,172,4.71849887129509,4.71849887129509,1.83643184008628
"Suffolk, Massachusetts","Suffolk","Massachusetts",797936,81140,128,15.77520335,14,6,4.85981240436167,2.81990180498994,173,4.85981240436167,4.85981240436167,2.81990180498994
"Philadelphia, Pennsylvania","Philadelphia","Pennsylvania",1603797,133553,136,10.18322314,13,11,4.91998092582813,2.41441472134783,174,4.91998092582813,4.91998092582813,2.41441472134783
"San Diego, California","San Diego","California",3298634,410752,198,4.820426924,12,52,5.29330482472449,1.7613736136922,175,5.29330482472449,5.29330482472449,1.7613736136922
"San Mateo, California","San Mateo","California",764442,230242,225,9.772326509,11,12,5.42053499927229,2.37698048538861,176,5.42053499927229,5.42053499927229,2.37698048538861
"Cook, Illinois","Cook","Illinois",5275541,413271,270,6.53324332,10,29,5.6021188208797,2.01932566886618,177,5.6021188208797,5.6021188208797,2.01932566886618
"Orange, California","Orange","California",3186989,706813,286,4.046331915,9,69,5.65948221575962,1.61866162589944,178,5.65948221575962,5.65948221575962,1.61866162589944
"Santa Clara, California","Santa Clara","California",1936259,759030,328,4.321304823,8,64,5.79605775076537,1.6717185407616,179,5.79605775076537,5.79605775076537,1.6717185407616
"Queens, New York","Queens","New York",2405464,660631,340,5.146594695,7,45,5.83188247728352,1.81589822033539,180,5.83188247728352,5.83188247728352,1.81589822033539
"King, Washington","King","Washington",2269675,452475,356,7.867838002,6,19,5.87773578177964,2.1824310238831,181,5.87773578177964,5.87773578177964,2.1824310238831
"Kings, New York","Kings","New York",2736074,373680,409,10.94519375,5,7,6.01615715969835,2.48032900082203,182,6.01615715969835,6.01615715969835,2.48032900082203
"Alameda, California","Alameda","California",1682353,545261,500,9.16992046,4,16,6.21660610108486,2.3194343889876,183,6.21660610108486,6.21660610108486,2.3194343889876
"San Francisco, California","San Francisco","California",873965,296505,946,31.9050269,3,3,6.85329909318608,3.49362543941269,184,6.85329909318608,6.85329909318608,3.49362543941269
"New York, New York","New York","New York",1694251,221995,966,43.51449357,2,2,6.87419849545329,3.7958148343463,185,6.87419849545329,6.87419849545329,3.7958148343463
"Los Angeles, California","Los Angeles","California",10014009,1499984,1069,7.126742685,1,25,6.97541392745595,2.09516018952502,186,6.97541392745595,6.97541392745595,2.09516018952502
