race_label,age,density
Anti-Black,57.78894472361809,0.011856053039959166
Anti-Black,58.291457286432156,0.011612349231172636
Anti-Black,58.793969849246224,0.011345381784535523
Anti-Black,59.2964824120603,0.011051180018301493
Anti-Black,59.79899497487437,0.010727081133681857
Anti-Black,60.30150753768844,0.010372067480570412
Anti-Black,60.804020100502505,0.009986995024322133
Anti-Black,61.306532663316574,0.009574649093061492
Anti-Black,61.80904522613065,0.009139594962740243
Anti-Black,62.31155778894472,0.008687833035471326
Anti-Black,62.81407035175879,0.00822630799197739
Anti-Black,63.31658291457286,0.007762347196385639
Anti-Black,63.81909547738693,0.007303109933387846
Anti-Black,64.321608040201,0.0068551161934964815
Anti-Black,64.82412060301507,0.006423897444092189
Anti-Black,65.32663316582914,0.006013780932039096
Anti-Black,65.82914572864321,0.005627792638592257
